CPU Load (%),CPU Cores,Memory RAM Usage (%),Memory Swap Usage (%),Disk Usage (%),downgrade
86.81,2,86.34,79.05,54.58,1
82.48,4,99.86,31.85,84.87,1
70.12,4,94.8,11.67,93.15,1
19.17,4,20.22,55.62,14.25,1
41.22,3,88.39,3.89,82.5,1
67.79,2,96.06,87.28,5.05,1
75.06,6,70.0,9.33,50.68,1
5.55,2,67.83,43.22,87.75,1
25.64,7,34.86,48.93,59.93,1
9.67,7,98.95,89.95,73.33,1
41.64,8,98.65,99.05,36.78,1
88.86,8,60.66,66.57,2.99,1
69.84,3,46.67,23.95,33.17,1
43.91,4,80.81,10.9,32.22,1
13.31,3,40.77,0.88,74.16,0
6.12,3,79.95,51.49,55.11,1
71.38,2,81.39,59.02,28.9,1
17.22,3,50.3,52.41,28.43,1
80.55,7,79.39,65.37,90.04,1
7.21,7,49.64,78.01,95.19,1
42.84,3,21.85,43.52,55.6,0
17.59,4,93.5,8.48,73.13,1
45.64,1,32.49,12.08,83.82,1
93.75,7,90.05,12.28,14.99,1
39.29,2,74.34,9.97,33.15,1
24.95,5,46.16,30.48,22.27,1
86.27,4,11.88,66.64,31.62,1
18.06,1,40.81,89.15,80.01,1
27.38,8,30.64,26.7,32.31,0
91.29,8,82.48,66.11,50.25,1
84.66,7,6.53,88.86,63.8,1
93.94,1,66.51,21.55,15.56,1
24.32,7,55.57,77.62,33.82,1
63.52,6,98.65,15.62,43.99,1
24.75,1,47.07,30.74,6.84,1
67.8,2,32.58,65.42,27.25,1
19.36,1,73.82,75.73,89.62,1
31.75,1,82.15,17.22,76.49,1
36.45,2,82.16,73.32,33.59,1
42.53,2,13.42,53.39,97.82,1
11.57,2,82.49,59.42,98.93,1
36.73,5,18.92,62.69,29.4,1
4.5,6,77.47,58.5,27.37,1
2.75,7,90.71,23.11,12.71,1
17.92,5,78.99,80.85,66.62,1
92.05,7,84.03,49.03,24.24,1
52.1,2,6.31,48.07,77.69,0
60.67,3,70.08,9.28,71.65,1
76.6,6,38.58,72.72,92.58,1
23.8,6,11.85,66.6,27.74,1
42.89,7,5.72,67.89,44.67,1
50.12,1,40.05,29.11,75.03,0
22.07,2,80.7,1.65,65.62,1
90.74,7,13.39,37.49,60.8,1
50.94,4,40.1,98.17,33.67,1
75.74,7,73.95,0.55,25.15,1
26.59,5,94.15,9.41,35.42,1
9.53,2,15.66,65.31,82.93,1
39.0,1,6.52,26.96,17.51,0
43.18,2,52.77,96.67,44.68,1
33.52,5,74.07,29.35,41.04,1
95.09,6,69.16,87.7,29.84,1
13.92,1,34.77,75.24,74.4,1
93.31,7,39.63,91.28,76.85,1
72.83,3,57.74,42.19,40.78,1
85.07,7,56.53,67.33,77.34,1
76.59,2,4.55,67.48,67.85,1
91.14,5,86.29,44.97,11.69,1
19.0,1,23.02,74.03,79.01,1
64.14,2,91.34,77.71,11.04,1
52.08,6,28.06,84.34,18.67,1
12.96,3,13.08,36.87,27.39,0
96.03,7,74.07,79.82,50.61,1
60.39,5,68.52,38.45,32.56,1
83.46,7,16.43,47.57,85.17,1
73.03,3,67.99,36.93,96.46,1
30.72,8,3.78,0.73,27.21,0
38.32,5,96.62,68.43,44.57,1
86.45,7,79.29,19.13,37.83,1
76.49,8,42.07,47.47,5.65,1
36.89,2,76.36,22.26,12.19,1
79.48,6,33.32,28.86,8.3,1
66.01,8,63.69,71.39,96.14,1
15.99,7,89.67,3.81,7.58,1
68.49,3,57.62,53.98,80.54,1
36.64,6,56.87,60.77,72.99,1
57.61,5,20.13,79.2,37.02,1
3.85,1,48.7,60.88,86.42,1
82.71,3,94.26,20.09,8.66,1
52.79,4,16.45,49.99,82.51,1
61.03,4,46.5,57.09,86.42,1
79.81,4,98.36,71.0,88.04,1
50.08,3,25.13,55.92,3.74,1
55.61,2,2.01,17.21,31.64,0
6.42,7,0.99,96.36,8.79,1
98.12,3,21.56,15.08,78.37,1
31.36,3,95.71,26.23,71.64,1
37.46,7,69.56,71.51,26.94,1
70.79,7,67.17,41.94,69.89,1
35.92,2,15.47,32.0,27.08,0
37.72,8,85.62,94.93,27.29,1
9.32,4,95.5,13.02,57.17,1
92.45,4,63.34,15.72,19.22,1
74.68,2,88.6,84.53,44.13,1
71.86,8,5.06,63.64,85.28,1
70.01,1,21.86,96.06,21.62,1
90.23,7,24.13,17.03,46.79,1
19.85,3,97.05,74.2,69.31,1
1.59,1,47.81,23.23,8.19,1
77.44,2,4.61,37.44,34.28,1
52.71,2,59.47,6.82,54.93,0
80.38,2,96.93,18.09,75.32,1
77.88,2,0.56,77.04,28.21,1
89.75,5,7.19,92.58,64.63,1
74.56,4,28.17,93.85,74.75,1
64.84,8,85.96,14.05,25.2,1
44.58,4,72.54,70.24,40.41,1
29.49,8,55.62,10.02,67.75,0
61.46,3,64.39,4.84,30.74,0
44.36,7,75.16,76.48,68.9,1
11.63,5,37.05,67.54,49.04,1
91.37,8,54.31,97.93,39.76,1
95.33,8,23.47,10.58,46.43,1
95.34,6,13.11,42.36,59.31,1
30.3,4,58.51,4.54,46.62,0
40.08,4,37.99,49.79,19.51,1
10.78,8,23.9,61.11,89.42,1
82.59,7,43.05,36.02,51.79,1
22.31,2,41.24,73.47,4.57,1
93.89,5,28.28,28.0,66.58,1
53.45,1,9.37,75.95,14.2,1
26.07,5,63.02,58.24,54.81,1
55.33,3,51.22,51.2,75.06,1
19.13,1,99.9,94.29,20.18,1
63.22,4,60.26,25.99,30.49,1
52.95,1,81.29,92.4,47.71,1
63.18,1,15.77,15.52,35.02,0
92.65,2,1.79,86.49,71.08,1
30.33,7,11.52,74.57,58.54,1
74.34,3,97.25,28.03,79.98,1
36.81,5,64.98,82.64,91.9,1
76.0,3,81.62,90.78,28.59,1
32.91,7,49.0,45.64,77.4,1
32.27,2,44.45,86.2,33.51,1
62.89,1,18.44,27.93,58.96,0
65.57,2,49.46,69.71,70.77,1
84.86,3,52.42,54.25,91.41,1
59.15,8,47.24,14.46,33.18,0
87.25,4,21.37,88.83,16.42,1
48.25,5,92.78,83.38,81.46,1
29.58,2,20.86,94.43,26.17,1
95.57,5,31.17,39.31,18.82,1
47.56,6,23.93,26.89,3.58,0
84.45,6,40.82,16.31,10.43,1
86.27,6,41.21,11.11,23.81,1
71.57,6,43.92,18.04,80.59,1
51.91,4,96.81,13.28,54.41,1
53.29,8,5.18,5.33,2.93,0
5.14,6,22.78,44.43,47.26,0
17.11,8,39.94,41.39,16.57,1
25.06,2,57.99,10.91,15.24,0
2.1,8,79.21,7.0,45.67,1
21.75,1,17.42,42.12,83.76,1
99.26,7,18.38,4.57,83.03,1
27.35,5,87.92,79.7,1.15,1
68.34,8,77.62,89.05,40.04,1
35.85,2,68.94,10.37,40.45,1
10.4,8,25.48,22.07,84.29,1
54.83,1,91.02,42.72,1.32,1
32.1,4,48.73,3.34,57.42,0
37.41,4,1.69,9.39,28.76,0
37.65,7,53.13,66.53,52.6,1
17.65,6,76.32,21.34,78.89,1
92.42,7,3.27,4.06,44.31,1
43.53,1,8.86,23.67,18.19,0
85.69,2,88.28,75.21,58.21,1
72.88,4,34.52,4.81,56.78,1
8.93,5,70.39,59.72,85.44,1
99.17,6,82.95,97.4,53.72,1
93.62,4,7.25,69.81,82.55,1
76.49,2,87.95,4.68,5.25,1
7.21,2,68.01,48.27,61.27,1
31.08,7,59.43,44.88,3.91,1
77.51,7,86.02,39.47,41.64,1
71.67,5,97.7,6.16,32.8,1
52.15,2,41.08,28.16,57.96,0
31.61,5,93.78,92.09,37.46,1
86.83,2,32.22,70.15,78.8,1
70.31,6,45.11,31.17,98.01,1
46.59,7,49.13,96.25,85.99,1
40.81,1,25.43,69.81,52.05,1
27.95,1,82.24,91.29,55.43,1
42.46,1,55.97,87.14,85.27,1
69.65,8,27.38,99.78,58.15,1
79.66,4,39.17,42.07,78.86,1
51.26,6,98.68,49.25,0.4,1
1.99,8,45.51,54.67,52.86,1
42.29,8,84.46,16.21,88.92,1
28.06,6,58.63,8.81,82.7,1
77.47,6,61.69,51.74,99.82,1
5.01,7,39.72,58.16,16.09,1
25.93,8,52.66,43.58,13.73,1
76.28,4,29.76,63.29,50.93,1
13.17,2,0.92,59.7,3.68,1
47.76,2,6.63,4.06,27.58,0
69.66,2,94.78,78.71,24.96,1
19.06,1,59.13,63.93,69.26,1
51.22,3,65.95,81.91,18.29,1
74.88,8,67.82,77.6,71.71,1
47.34,6,34.3,74.32,59.78,1
92.99,4,27.31,3.67,6.66,1
32.48,7,6.7,63.93,56.13,1
7.49,7,53.07,12.12,5.21,0
20.73,3,29.48,20.16,19.24,0
87.81,6,38.9,86.01,69.27,1
46.68,2,95.64,67.51,8.97,1
39.18,2,30.22,12.38,18.32,0
70.86,8,13.75,64.39,47.52,1
30.69,8,34.14,52.79,80.04,1
59.84,5,41.83,35.27,49.11,1
54.54,8,7.53,55.0,6.41,1
60.51,5,61.6,14.09,69.63,1
0.18,1,98.9,21.75,9.89,1
88.41,3,26.99,40.95,63.14,1
77.44,4,99.59,83.07,90.8,1
60.4,5,1.47,86.76,39.98,1
83.7,3,3.51,66.22,76.47,1
69.51,1,66.35,46.27,30.37,1
46.96,4,70.18,28.52,83.26,1
51.37,6,79.5,31.22,60.21,1
65.98,6,20.16,31.22,2.0,0
99.07,4,43.08,46.74,66.93,1
24.13,1,74.78,39.64,12.62,1
49.29,2,57.59,33.06,87.21,1
86.6,7,55.71,43.91,24.09,1
61.06,6,94.0,7.31,79.69,1
35.74,8,17.55,78.54,11.69,1
31.08,4,48.58,8.94,65.45,0
0.89,1,60.06,40.83,32.69,1
84.11,5,5.8,46.6,18.28,1
92.83,3,89.99,6.86,62.34,1
4.34,5,3.03,4.32,47.42,0
49.04,7,77.88,76.65,21.03,1
96.7,6,28.49,52.37,19.04,1
38.3,7,98.46,55.98,55.65,1
70.08,1,94.42,44.03,7.43,1
39.06,4,1.84,87.83,46.67,1
41.43,7,56.11,81.29,31.77,1
66.88,3,38.67,86.31,34.97,1
34.78,8,63.63,49.36,90.12,1
63.81,4,28.62,82.47,41.28,1
58.48,1,40.61,44.71,25.6,1
80.75,7,46.02,78.24,59.91,1
58.24,8,68.53,43.89,15.56,1
99.12,3,83.26,5.6,80.38,1
88.19,2,60.12,61.96,26.73,1
84.09,5,60.15,79.71,42.97,1
70.49,1,43.93,2.44,10.86,1
13.26,3,98.33,71.25,75.98,1
78.15,1,28.97,77.43,75.81,1
20.78,1,32.95,65.19,56.85,1
92.52,7,31.97,84.47,69.97,1
77.3,7,37.28,72.11,30.85,1
98.56,1,3.45,61.5,52.53,1
33.97,3,43.22,48.25,4.6,1
72.3,7,71.65,74.48,17.08,1
83.96,2,27.82,21.69,22.91,1
69.08,1,96.36,68.78,27.66,1
52.02,5,15.11,61.02,92.15,1
97.44,4,19.89,41.88,72.43,1
27.88,4,70.29,4.24,81.4,1
71.15,8,17.25,56.04,51.79,1
